GeoFips,GeoName,Private services-providing industries,Natural resources and mining,Private goods-producing industries,Manufacturing and information,Transportation and utilities,Trade
0,United States *,12598424,441837,3268154,3038818,865329,2163893
1000,Alabama,123514.6,4153.3,44962.3,37973,11152.9,24913.3
2000,Alaska,28585,8271.8,12547.4,3258.7,6885.3,3494.6
4000,Arizona,216185,6188.9,43641.4,35720.8,15866.4,39286.6
5000,Arkansas,76060.7,4302.1,26077.2,20202.5,8178.4,17551.6
6000,California,1751703.3,47042.7,415770.1,499744,94366,291432.9
8000,Colorado,227089.7,14406.3,54168.5,41386.7,16216.7,35802.4
9000,Connecticut,195187.3,592.9,37536,43436.8,10298.9,29019.1
10000,Delaware,57707.6,483.5,7648.8,6033.9,2172.3,4793.3
11000,District of Columbia,81512.1,0.7,1726.8,6593.1,1955.7,2680.8
12000,Florida,707473.7,7790.3,96103.7,86482.7,47112.6,131091.5
13000,Georgia,376749.9,5292.1,80567.9,93906.8,32010.2,70590.8
15000,Hawaii,57228.4,539.8,6719.6,3493.6,6097.4,8173.4
16000,Idaho,42102.8,4462.4,14805.5,8566.5,3243.7,9551.2
17000,Illinois,585629.5,6538.8,135009.5,128969.4,44332,103858.7
18000,Indiana,192801.2,5047,107898.2,96847.7,17922.7,37924.6
19000,Iowa,108609,9381.5,51380,38991.8,8678.2,19837
20000,Kansas,99566.1,5469.6,34826.1,28871.9,8725,20017.8
21000,Kentucky,117649,5677.2,48127.4,39926.2,12262.4,24642.2
22000,Louisiana,138335.9,11689.5,70306.9,50710.4,14687.2,26937.7
23000,Maine,41786.3,977.6,8388.2,6557.2,2286.2,8054.1
24000,Maryland,253634.4,1190.3,39650.2,35277,14837.7,35578.7
25000,Massachusetts,377614.5,984.9,69400.8,78359.4,15025,46035.8
26000,Michigan,311471.5,4665.2,112112.1,104045.4,21037.6,59863.9
27000,Minnesota,233628.6,6748.2,68590,60706.7,15396.8,43457.3
28000,Mississippi,63872.8,3209.2,23355.1,18848.7,6795.6,13818.3
29000,Missouri,207784.4,3888.4,53588.3,50788.9,15360.3,37516.8
30000,Montana,30044.3,3925.5,9714.5,4432.4,3200.5,5525.4
31000,Nebraska,77430.1,8073.3,24842.4,15931,12236,13834.4
32000,Nevada,112440.2,3078.7,16355.6,9800,9175.7,15900.9
33000,New Hampshire,57061.7,301.5,10998.3,11577.9,2467.7,10266.8
34000,New Jersey,435337.6,1183.7,66591.7,70571.2,30599.6,81458.8
35000,New Mexico,52659.6,8275.3,15656.8,6710.9,4133.6,8584.8
36000,New York,1211482.6,3302.6,119463.3,188333,52733.6,142567.7
37000,North Carolina,319620.7,5550,121211.4,115832.7,19493.3,55586.5
38000,North Dakota,32877.9,9582.7,17347.5,5053.6,4430.9,8377
39000,Ohio,411435.4,7956.9,132466.7,120975.4,30178.5,75384.2
40000,Oklahoma,108388.3,24190.1,49476.4,22828,15663.3,21200.3
41000,Oregon,131925.9,4297.2,41761.5,37254.8,8509.5,21925.2
42000,Pennsylvania,515697.1,13860.8,127528.2,130866.4,36984.6,78867
44000,Rhode Island,41902.6,170.9,6917.4,6638.2,1800.7,6422.3
45000,South Carolina,128934.3,1453.7,44712.3,39856.4,10375,25780.8
46000,South Dakota,33075,3776.5,9927.1,5600.3,1954.3,6824.1
47000,Tennessee,224668.2,2305.1,63260.1,60344.5,16567.1,44251.5
48000,Texas,979371.9,134394.8,425183.3,271444.3,82798.5,219999
49000,Utah,100085.1,4028.9,30100.6,24058.3,7394.7,18076.3
50000,Vermont,21820.8,608.5,4649.1,3813.4,1276.9,3833.3
51000,Virginia,328680,3102,65730.8,62156.2,20166,45687.3
53000,Washington,310588.1,8253.8,93378.2,117992.3,17318.5,59783.6
54000,West Virginia,42558.2,6859.2,17068.3,8531.4,4247.2,8518.7
55000,Wisconsin,196877.6,6581.7,76610.2,69516.2,14533.7,35503.3
56000,Wyoming,19977.5,7729.3,12299.2,2999.3,4186.3,3809.6
91000,New England,735373.1,3636.3,137889.9,150382.8,33155.4,103631.4
92000,Mideast,2555371.5,20021.6,362609,437674.6,139283.4,345946.4
93000,Great Lakes,1698215.3,30789.6,564096.7,520354.1,128004.5,312534.8
94000,Plains,792971.2,46920.2,260501.5,205944.2,66781.6,149864.4
95000,Southeast,2648117.9,61383.6,701483.4,634771.6,203048,489370.1
96000,Southwest,1356604.8,173049.1,533957.8,336704,118461.8,289070.7
97000,Rocky Mountain,419299.4,34552.4,121088.4,81443.2,34241.9,72764.8
98000,Far West,2392470.9,71484.1,586532.4,671543.5,142352.4,400710.5
